# P t0 rp_rs a_rs b
9.082581705528916416e+00 4.498770967011768818e+01 8.755581998626639842e-03 1.416145013416527121e+01 5.066827174028808445e-01
9.082581705528916416e+00 4.498770967011768818e+01 8.755581998626639842e-03 1.416145013416527121e+01 5.066827174028808445e-01
9.082581705528916416e+00 4.498770967011768818e+01 8.755581998626639842e-03 1.416145013416527121e+01 5.066827174028808445e-01
9.077458611823546519e+00 4.498902207307035184e+01 1.103794663652092785e-02 1.391972983317229762e+01 5.264861649177838832e-01
9.077458611823546519e+00 4.498902207307035184e+01 1.103794663652092785e-02 1.391972983317229762e+01 5.264861649177838832e-01
9.077458611823546519e+00 4.498902207307035184e+01 1.103794663652092785e-02 1.391972983317229762e+01 5.264861649177838832e-01
9.077458611823546519e+00 4.498902207307035184e+01 1.103794663652092785e-02 1.391972983317229762e+01 5.264861649177838832e-01
9.077458611823546519e+00 4.498902207307035184e+01 1.103794663652092785e-02 1.391972983317229762e+01 5.264861649177838832e-01
9.077458611823546519e+00 4.498902207307035184e+01 1.103794663652092785e-02 1.391972983317229762e+01 5.264861649177838832e-01
9.077458611823546519e+00 4.498902207307035184e+01 1.103794663652092785e-02 1.391972983317229762e+01 5.264861649177838832e-01
9.077458611823546519e+00 4.498902207307035184e+01 1.103794663652092785e-02 1.391972983317229762e+01 5.264861649177838832e-01
9.077458611823546519e+00 4.498902207307035184e+01 1.103794663652092785e-02 1.391972983317229762e+01 5.264861649177838832e-01
9.081446280900680179e+00 4.500159305379982300e+01 1.358689293882966304e-02 1.278354443020897158e+01 5.250113343212300387e-01
9.081446280900680179e+00 4.500159305379982300e+01 1.358689293882966304e-02 1.278354443020897158e+01 5.250113343212300387e-01
9.081446280900680179e+00 4.500159305379982300e+01 1.358689293882966304e-02 1.278354443020897158e+01 5.250113343212300387e-01
9.081446280900680179e+00 4.500159305379982300e+01 1.358689293882966304e-02 1.278354443020897158e+01 5.250113343212300387e-01
9.081446280900680179e+00 4.500159305379982300e+01 1.358689293882966304e-02 1.278354443020897158e+01 5.250113343212300387e-01
9.081446280900680179e+00 4.500159305379982300e+01 1.358689293882966304e-02 1.278354443020897158e+01 5.250113343212300387e-01
9.081446280900680179e+00 4.500159305379982300e+01 1.358689293882966304e-02 1.278354443020897158e+01 5.250113343212300387e-01
9.081446280900680179e+00 4.500159305379982300e+01 1.358689293882966304e-02 1.278354443020897158e+01 5.250113343212300387e-01
9.081446280900680179e+00 4.500159305379982300e+01 1.358689293882966304e-02 1.278354443020897158e+01 5.250113343212300387e-01
9.081446280900680179e+00 4.500159305379982300e+01 1.358689293882966304e-02 1.278354443020897158e+01 5.250113343212300387e-01
9.081446280900680179e+00 4.500159305379982300e+01 1.358689293882966304e-02 1.278354443020897158e+01 5.250113343212300387e-01
9.081446280900680179e+00 4.500159305379982300e+01 1.358689293882966304e-02 1.278354443020897158e+01 5.250113343212300387e-01
9.081446280900680179e+00 4.500159305379982300e+01 1.358689293882966304e-02 1.278354443020897158e+01 5.250113343212300387e-01
9.081446280900680179e+00 4.500159305379982300e+01 1.358689293882966304e-02 1.278354443020897158e+01 5.250113343212300387e-01
9.081446280900680179e+00 4.500159305379982300e+01 1.358689293882966304e-02 1.278354443020897158e+01 5.250113343212300387e-01
9.081446280900680179e+00 4.500159305379982300e+01 1.358689293882966304e-02 1.278354443020897158e+01 5.250113343212300387e-01
